age,hours.per.week,education.num,income,income_binary
29,40,10,<=50K,0
19,15,10,<=50K,0
28,40,10,<=50K,0
35,45,7,<=50K,0
20,30,10,<=50K,0
36,40,10,<=50K,0
46,40,13,<=50K,0
35,50,8,<=50K,0
28,40,4,<=50K,0
23,40,9,<=50K,0
45,40,9,<=50K,0
35,40,10,<=50K,0
39,45,13,<=50K,0
22,40,9,<=50K,0
45,40,9,<=50K,0
19,40,7,<=50K,0
31,40,10,<=50K,0
53,40,12,>50K,1
51,50,14,>50K,1
25,40,10,<=50K,0
77,20,3,<=50K,0
45,60,9,<=50K,0
25,40,10,<=50K,0
23,40,9,<=50K,0
33,41,9,<=50K,0
49,40,10,<=50K,0
57,40,13,<=50K,0
54,35,9,<=50K,0
24,15,13,<=50K,0
41,36,10,<=50K,0
57,40,9,>50K,1
59,80,14,>50K,1
46,37,9,<=50K,0
46,40,12,<=50K,0
34,40,10,<=50K,0
27,45,10,<=50K,0
41,40,13,<=50K,0
32,50,12,<=50K,0
28,45,10,<=50K,0
39,40,13,>50K,1
43,45,12,<=50K,0
55,60,9,<=50K,0
34,60,13,<=50K,0
44,40,14,<=50K,0
18,30,9,<=50K,0
65,50,11,>50K,1
36,35,16,<=50K,0
42,40,13,<=50K,0
30,40,4,<=50K,0
55,53,9,>50K,1
35,40,13,<=50K,0
35,40,10,<=50K,0
27,45,12,<=50K,0
21,8,12,<=50K,0
38,99,9,<=50K,0
19,12,10,<=50K,0
38,40,9,<=50K,0
26,48,13,<=50K,0
52,50,2,>50K,1
59,40,9,>50K,1
29,40,10,<=50K,0
44,40,10,<=50K,0
42,75,9,>50K,1
17,20,6,<=50K,0
43,40,9,<=50K,0
44,35,10,<=50K,0
43,40,9,<=50K,0
43,40,9,<=50K,0
44,32,15,>50K,1
46,40,9,<=50K,0
52,36,9,<=50K,0
55,40,7,<=50K,0
21,15,12,<=50K,0
43,60,8,<=50K,0
37,40,14,<=50K,0
28,40,10,<=50K,0
45,50,14,>50K,1
42,50,14,<=50K,0
26,40,13,<=50K,0
71,40,9,>50K,1
59,40,9,>50K,1
31,40,13,<=50K,0
41,40,9,<=50K,0
33,35,13,<=50K,0
41,40,13,<=50K,0
40,30,9,<=50K,0
40,55,6,<=50K,0
48,40,10,<=50K,0
42,96,9,<=50K,0
45,40,13,<=50K,0
26,30,10,<=50K,0
62,16,9,<=50K,0
36,64,9,>50K,1
17,20,7,<=50K,0
27,40,13,<=50K,0
35,16,9,>50K,1
56,46,9,<=50K,0
23,40,13,>50K,1
42,38,14,<=50K,0
57,30,9,<=50K,0
36,40,10,<=50K,0
17,40,6,<=50K,0
32,54,10,<=50K,0
41,4,10,<=50K,0
53,70,16,>50K,1
38,60,10,<=50K,0
20,25,9,<=50K,0
17,30,6,<=50K,0
28,60,9,<=50K,0
39,50,10,<=50K,0
43,40,10,<=50K,0
35,40,13,>50K,1
50,50,9,>50K,1
40,45,9,<=50K,0
53,40,4,<=50K,0
42,40,10,>50K,1
46,40,9,<=50K,0
21,36,9,<=50K,0
39,40,9,<=50K,0
30,40,9,<=50K,0
36,40,9,>50K,1
43,40,12,<=50K,0
35,50,10,<=50K,0
42,40,9,<=50K,0
68,40,13,>50K,1
52,40,9,>50K,1
42,40,9,<=50K,0
31,50,9,>50K,1
59,40,9,<=50K,0
24,40,9,<=50K,0
23,48,9,<=50K,0
36,45,9,<=50K,0
